order_id,order_date,customer_id,customer_name,customer_email,customer_phone,channel,region,sku,category,qty,unit_price,discount,tax,shipping_cost
ORD-2024-029562,2024-08-28T00:00:00,CUST-006360,,skyler.harris447@example.com,(425) 927-6692,Partner,North,SPO-023,Sports,1.0,146.85155771262143,4.483731855116567,11.230174384556959,6.568466924233432
ORD-2025-026641,2025-01-15T00:00:00,CUST-008224,,parker.white7614@contoso.com,617-119-8699,Online,West,HOM-013,Home,2.0,72.61305999785648,0.7529378602080639,11.809785001760815,7.6442875301575075
ORD-2025-024499,2025-03-26T00:00:00,CUST-015223,Aiden Clark,rowan.clark8985@spam.test,+1-702-360-7882 ext 58,Online,West,HOM-014,Home,2.0,93.63616643847038,0.8642802127616819,14.438235452722974,8.249785051464372
ORD-2025-024595,2024-07-07T00:00:00,CUST-016226,,parker.hernandez3709@example.com,,Retail,North,ELE-004,Electronics,2.0,124.39683377262821,1.6102039526582441,19.92767099693457,8.215754543239061
ORD-2024-024250,2025-05-03T00:00:00,CUST-008087,,noah.martinez7665@gmail.com,+1 312 980 9607,Online,West,ELE-024,Electronics,1.0,108.5307911655978,1.5011730555959817,8.151505644442908,5.511822172335592
ORD-2025-022745,2025-01-01T00:00:00,CUST-008475,Ethan Martin,rowan.garcia3692@example.com,206-633-7160,Retail,North,HOM-010,Home,1.0,58.30432921979353,0.3929972262448578,4.632373906908183,5.945028229280147
ORD-2024-035432,2024-11-25T00:00:00,CUST-000171,,logan.white2636@outlook.com,,Online,North,HOM-018,Home,4.0,53.762444741944904,3.8543256852270353,16.597039111466035,10.577411821280775
ORD-2025-037309,2025-05-12T00:00:00,CUST-010971,,morgan.smith4753@gmail.com,,Retail,International,SPO-007,Sports,3.0,130.9613964074271,2.513046341632072,31.763619022759272,23.32758432056218
ORD-2024-019138,2024-03-01T00:00:00,CUST-005678,,alex.moore8274@acme.com,+1-201-534-5180 ext 77,Partner,North,ELE-022,Electronics,1.0,112.81106066884834,4.1357552900801595,8.617999871461317,5.748173498739584
ORD-2025-012015,2024-07-19T00:00:00,CUST-005188,,taylor.hernandez5171@spam.test,503.411.2580,Online,North,ELE-013,Electronics,4.0,68.59848466737158,9.752378636156012,21.82441671942299,10.849326696730504
ORD-2024-011652,2025-02-27T00:00:00,CUST-005789,,morgan.white6586@yahoo.com,425-517-1494,Wholesale,South,APP-012,Apparel,2.0,33.26245944869012,1.276371456562873,4.982631661091128,7.937847598321818
ORD-2025-051401,2025-02-09T00:00:00,CUST-003517,,taylor.thomas8612@acme.com,+1-702-857-9530 ext 13,Retail,North,APP-006,Apparel,3.0,36.646555240205984,2.5127327017051058,8.6234426360499,8.484667369311449
ORD-2025-026005,2024-11-27T00:00:00,CUST-008595,Liam Jackson,parker.perez1970@outlook.com,+1-646-570-8210 ext 78,Online,West,APP-019,Apparel,2.0,44.34699117673649,7.874682434744432,6.5634877448966105,6.8046216203476275
ORD-2024-020108,2025-06-22T00:00:00,CUST-005562,,drew.anderson4427@example.com,+1 617 905 8620,Wholesale,South,SPO-005,Sports,1.0,109.64788543150496,4.215015842412301,8.433842474853062,6.588280192266711
ORD-2024-033840,2025-07-07T00:00:00,CUST-013368,Logan Hernandez,logan.hernandez1420@outlook.com,(415) 192-2057,Wholesale,West,BEA-011,Beauty,2.0,22.314680252577393,4.351344208322741,3.2628959885786095,7.275014922277174
ORD-2024-026894,2025-03-23T00:00:00,CUST-007738,,reese.johnson9721@yahoo.com,,Online,North,ELE-021,Electronics,3.0,84.43701551350192,5.415839066977718,18.972919601546497,9.897227935006228
ORD-2025-037007,2025-04-03T00:00:00,CUST-015454,Taylor Wilson,reese.lopez9149@outlook.com,(201) 243-1299,Online,International,HOM-020,Home,3.0,54.83214672135934,2.7926674442705974,12.660688680187073,20.89852590889075
ORD-2024-023352,2025-02-17T00:00:00,CUST-012165,Quinn Miller,casey.lopez8104@spam.test,(646) 132-2364,Online,South,SPO-010,Sports,2.0,109.22035542975861,0.6057486739796155,18.208479833944384,8.211839757521195
ORD-2024-039308,2024-07-20T00:00:00,CUST-014672,Olivia Anderson,rowan.brown3107@yahoo.com,,Email,International,HOM-006,Home,4.0,52.25305416038828,4.889961927429752,17.046559721160886,24.85024310192501
ORD-2025-001441,2025-08-20T00:00:00,CUST-011606,,hayden.rodriguez7123@yahoo.com,201.242.9498,Online,International,SPO-023,Sports,2.0,58.20149780813158,0.21131411807403613,9.486246055310717,17.54893726320791
ORD-2024-020208,2025-04-12T00:00:00,CUST-017710,,liam.anderson9251@example.com,,Retail,South,HOM-025,Home,3.0,64.00318867902533,3.395416922659305,14.495146667223553,10.371014016659965
ORD-2025-010813,2024-05-05T00:00:00,CUST-004516,,ethan.garcia5008@spam.test,425-961-5836,Retail,West,ELE-010,Electronics,1.0,89.59766246365434,0.3624697639108673,6.821214927376831,5.79857275381255
ORD-2024-010726,2024-11-18T00:00:00,CUST-005835,Sophia Brown,,+1-503-785-3116 ext 13,Partner,West,TOY-025,Toys,4.0,25.604488962877173,0.5154933102335969,8.029860751563097,10.8276374171245
ORD-2024-004162,2024-04-05T00:00:00,CUST-008386,,taylor.white374@example.com,,Retail,International,BEA-022,Beauty,5.0,17.942280639116284,1.9731774447238126,6.725595152876995,30.057605003891585
ORD-2024-018964,2024-07-05T00:00:00,CUST-012003,Emma Sanchez,riley.moore1368@acme.com,+1 312 850 1570,Social,North,BEA-018,Beauty,4.0,24.76086185691946,10.419275546090628,7.203580270756232,11.043845088788126
ORD-2024-025088,2025-01-08T00:00:00,CUST-002995,Casey Lewis,finley.johnson38@outlook.com,,Social,North,APP-016,Apparel,2.0,50.13822552440853,0.9886697958479127,8.226538161160098,7.637118778555321
ORD-2024-030422,2024-07-24T00:00:00,CUST-015876,,parker.lewis8318@contoso.com,(503) 400-2845,Online,West,APP-021,Apparel,2.0,25.62410522284406,15.506635394644832,2.9951446042876677,8.075399588724217
ORD-2025-033943,2025-01-27T00:00:00,CUST-000601,Mia Harris,alex.thomas1654@gmail.com,,Online,West,SPO-010,Sports,1.0,66.84401982174504,0.4732740106512491,5.364543461247669,5.710240585969981
ORD-2024-054148,2025-04-09T00:00:00,CUST-009053,,sophia.thomas7140@gmail.com,,Online,East,HOM-002,Home,1.0,37.153592038387586,0.6458932309301881,3.015572593376915,6.006000382625208
ORD-2024-017894,2025-03-21T00:00:00,CUST-001606,Aiden Rodriguez,finley.johnson6570@contoso.com,+1 201 590 6633,Online,South,ELE-004,Electronics,2.0,146.37092870640987,2.465306688836117,24.245373137702938,7.981694146878686
